test,count,RTF,CPU,CPU_TEMP,GPU,GPU_TEMP,RAM_USED,VRAM_USED
multi-robot,1,0.9995222690000001,"[3.7, 7.5, 9.8, 9.8, 77.1, 0.9, 0.9, 1.8, 0.9, 23.4, 5.5, 12.1, 23.6, 1.9, 0.9, 4.6]",48.0,98,54,2299641856,737
multi-robot,1,1.00015357,"[4.7, 12.8, 28.7, 33.1, 6.5, 0.0, 0.9, 0.0, 1.9, 1.9, 0.0, 0.9, 90.7, 0.9, 1.0, 2.8]",48.25,99,54,2299723776,737
multi-robot,1,0.999689118,"[12.8, 6.4, 3.7, 0.0, 1.9, 0.9, 0.9, 0.0, 1.0, 2.8, 25.0, 0.0, 97.3, 0.9, 0.0, 3.6]",48.5,98,55,2300592128,737
multi-robot,1,0.9994797310000001,"[0.0, 14.0, 7.3, 31.5, 4.8, 0.9, 0.0, 0.0, 0.0, 0.0, 2.8, 0.0, 97.3, 0.9, 0.9, 5.4]",48.625,98,55,2300190720,737
multi-robot,1,0.9991512440000001,"[2.8, 4.7, 16.7, 27.1, 46.8, 3.7, 0.9, 0.9, 0.0, 5.6, 1.9, 1.9, 50.5, 2.7, 0.0, 0.9]",48.75,98,56,2298310656,737
multi-robot,1,0.9993584910000001,"[0.9, 0.9, 9.3, 16.4, 97.2, 3.7, 1.9, 15.8, 0.9, 1.9, 25.7, 0.9, 0.9, 4.5, 2.8, 1.8]",49.0,98,56,2297266176,737
multi-robot,1,0.9989991340000001,"[0.9, 0.9, 3.7, 17.1, 16.7, 75.0, 1.1, 2.8, 0.9, 2.8, 28.0, 1.9, 0.9, 9.3, 1.9, 1.0]",57.25,99,56,2297802752,737
multi-robot,1,0.9992022250000001,"[13.8, 5.6, 5.6, 2.8, 1.9, 2.8, 18.9, 2.8, 3.8, 1.9, 23.4, 5.6, 0.0, 97.2, 0.9, 2.8]",55.5,99,57,2298064896,737
multi-robot,1,0.998203535,"[0.9, 11.0, 6.4, 0.9, 0.9, 2.8, 1.0, 4.5, 0.9, 4.6, 30.3, 3.6, 0.0, 97.2, 0.0, 0.0]",54.0,98,57,2297434112,737
multi-robot,1,0.9991015520000001,"[2.8, 0.9, 2.8, 16.7, 0.0, 0.9, 0.0, 10.3, 0.0, 10.1, 9.2, 15.7, 3.7, 97.3, 1.9, 1.9]",52.375,98,58,2297634816,737
multi-robot,1,0.9984867110000001,"[3.7, 1.9, 3.8, 0.0, 0.9, 6.7, 1.0, 4.7, 1.9, 25.5, 7.7, 11.2, 2.9, 88.8, 1.9, 0.0]",50.875,97,58,2297171968,737
multi-robot,1,0.9985875700000001,"[3.7, 0.0, 3.7, 0.9, 0.9, 97.2, 0.0, 2.8, 0.0, 26.7, 2.8, 17.0, 8.3, 1.9, 3.7, 0.0]",49.875,98,58,2296274944,737
