test,count,CPU,GPU,GPU_TEMP,RAM_USED,VRAM_USED
multi-robot,1,"[48.1, 5.4, 31.6, 11.6, 13.1, 24.3, 33.5, 14.4, 5.7, 4.7, 10.9, 6.5, 36.0, 53.9, 12.1, 12.2]",96,49,17442242560,570
multi-robot,1,"[50.0, 0.0, 23.5, 23.5, 17.6, 11.8, 17.6, 11.8, 5.9, 11.8, 17.6, 5.9, 88.2, 11.8, 11.8, 11.8]",94,49,17400897536,570
multi-robot,1,"[63.2, 6.2, 12.5, 0.0, 12.5, 6.2, 43.8, 25.0, 6.2, 6.2, 31.2, 0.0, 62.5, 12.5, 25.0, 37.5]",94,49,17359908864,570
multi-robot,1,"[50.0, 0.0, 31.2, 12.5, 17.6, 6.2, 25.0, 25.0, 6.2, 6.2, 6.2, 0.0, 50.0, 6.2, 12.5, 0.0]",94,49,17328492544,570
multi-robot,1,"[43.8, 0.0, 33.3, 13.3, 6.7, 0.0, 60.0, 0.0, 0.0, 0.0, 6.7, 0.0, 26.7, 0.0, 0.0, 0.0]",94,49,17322864640,570
multi-robot,1,"[29.4, 0.0, 25.0, 25.0, 6.2, 0.0, 50.0, 25.0, 6.2, 0.0, 6.2, 0.0, 6.2, 6.2, 0.0, 0.0]",95,49,17330262016,570
multi-robot,1,"[33.3, 0.0, 26.7, 26.7, 6.7, 0.0, 46.7, 13.3, 6.7, 0.0, 6.7, 0.0, 13.3, 6.7, 6.7, 0.0]",95,50,17323618304,570
multi-robot,1,"[44.4, 0.0, 25.0, 18.8, 12.5, 6.2, 31.2, 18.8, 6.2, 0.0, 6.2, 0.0, 43.8, 6.2, 6.2, 0.0]",95,50,17329459200,570
multi-robot,1,"[57.9, 0.0, 56.2, 18.8, 52.9, 6.2, 37.5, 29.4, 12.5, 6.2, 12.5, 0.0, 50.0, 18.8, 12.5, 6.2]",95,50,17335037952,570
multi-robot,1,"[52.6, 11.8, 35.3, 41.2, 41.2, 5.9, 64.7, 27.8, 41.2, 0.0, 17.6, 0.0, 41.2, 23.5, 17.6, 0.0]",95,50,17340723200,570
multi-robot,1,"[65.0, 6.2, 18.8, 47.1, 25.0, 6.2, 18.8, 43.8, 6.2, 5.9, 37.5, 6.2, 52.9, 12.5, 18.8, 0.0]",95,50,17345056768,570
multi-robot,1,"[58.8, 0.0, 25.0, 25.0, 50.0, 12.5, 37.5, 31.2, 6.2, 6.2, 31.2, 6.2, 50.0, 6.2, 25.0, 0.0]",95,50,17330974720,570
multi-robot,1,"[91.7, 6.2, 31.2, 50.0, 25.0, 0.0, 43.8, 35.3, 6.2, 0.0, 12.5, 0.0, 25.0, 0.0, 43.8, 0.0]",95,50,17327939584,570
multi-robot,1,"[64.7, 0.0, 56.2, 37.5, 20.0, 0.0, 43.8, 25.0, 13.3, 0.0, 20.0, 0.0, 26.7, 13.3, 13.3, 13.3]",94,50,17284055040,570
multi-robot,1,"[75.0, 0.0, 26.7, 46.7, 26.7, 26.7, 33.3, 20.0, 6.7, 0.0, 20.0, 0.0, 13.3, 46.7, 26.7, 0.0]",94,51,17008316416,570
multi-robot,1,"[86.4, 6.2, 31.2, 6.2, 25.0, 0.0, 18.8, 56.2, 0.0, 0.0, 25.0, 0.0, 43.8, 0.0, 37.5, 0.0]",94,51,17007816704,570
multi-robot,1,"[72.7, 11.8, 43.8, 31.2, 25.0, 25.0, 25.0, 31.2, 25.0, 6.2, 25.0, 25.0, 31.2, 31.2, 12.5, 6.2]",94,51,16811233280,570
multi-robot,1,"[75.0, 23.5, 47.1, 35.3, 66.7, 0.0, 47.1, 23.5, 11.8, 5.9, 27.8, 0.0, 35.3, 11.8, 29.4, 0.0]",94,51,16871137280,570
multi-robot,1,"[77.8, 18.8, 37.5, 26.7, 46.7, 6.7, 13.3, 66.7, 13.3, 0.0, 6.7, 0.0, 40.0, 0.0, 20.0, 0.0]",94,51,16983257088,570
multi-robot,1,"[94.7, 0.0, 56.2, 25.0, 37.5, 6.2, 35.3, 31.2, 6.2, 0.0, 6.2, 6.2, 18.8, 6.2, 25.0, 6.2]",94,51,17092493312,570
multi-robot,2,"[39.5, 2.1, 34.4, 16.3, 20.2, 2.4, 39.7, 17.3, 6.7, 0.8, 10.4, 1.3, 10.2, 2.1, 12.4, 1.3]",95,55,25796698112,587
multi-robot,2,"[57.9, 0.0, 12.5, 38.9, 31.2, 0.0, 43.8, 12.5, 0.0, 0.0, 0.0, 0.0, 43.8, 0.0, 12.5, 0.0]",95,55,25831055360,587
multi-robot,2,"[38.9, 6.2, 25.0, 12.5, 12.5, 0.0, 52.9, 12.5, 0.0, 0.0, 6.2, 6.2, 25.0, 6.2, 12.5, 0.0]",95,55,25837903872,587
multi-robot,2,"[45.0, 0.0, 47.1, 5.9, 17.6, 0.0, 47.1, 23.5, 11.8, 0.0, 16.7, 0.0, 35.3, 0.0, 27.8, 0.0]",97,55,25858322432,587
multi-robot,2,"[18.8, 0.0, 57.9, 6.2, 18.8, 0.0, 47.1, 25.0, 0.0, 0.0, 0.0, 6.2, 31.2, 0.0, 18.8, 6.2]",97,55,25871314944,587
multi-robot,2,"[60.0, 0.0, 50.0, 5.9, 11.8, 0.0, 57.9, 23.5, 5.9, 0.0, 11.8, 0.0, 23.5, 0.0, 5.9, 0.0]",97,55,25887027200,587
multi-robot,2,"[57.9, 6.2, 18.8, 37.5, 18.8, 0.0, 50.0, 12.5, 12.5, 0.0, 6.2, 0.0, 25.0, 0.0, 12.5, 0.0]",97,56,25890275328,587
multi-robot,2,"[57.1, 0.0, 31.2, 31.2, 12.5, 0.0, 43.8, 18.8, 0.0, 0.0, 0.0, 0.0, 43.8, 0.0, 17.6, 0.0]",97,56,25951637504,587
multi-robot,2,"[41.2, 5.9, 17.6, 44.4, 44.4, 0.0, 23.5, 17.6, 11.8, 0.0, 11.8, 0.0, 47.1, 0.0, 23.5, 0.0]",97,55,26022715392,587
multi-robot,2,"[50.0, 0.0, 31.2, 35.3, 35.3, 0.0, 31.2, 43.8, 6.2, 0.0, 25.0, 0.0, 25.0, 0.0, 12.5, 0.0]",97,55,26136899584,587
multi-robot,2,"[78.3, 0.0, 11.8, 38.9, 42.1, 0.0, 12.5, 38.9, 0.0, 0.0, 11.8, 0.0, 17.6, 0.0, 17.6, 0.0]",97,56,26232696832,587
multi-robot,2,"[47.4, 0.0, 12.5, 25.0, 43.8, 0.0, 35.3, 47.1, 6.2, 0.0, 0.0, 0.0, 43.8, 5.9, 12.5, 0.0]",97,56,26296172544,587
multi-robot,2,"[85.0, 0.0, 66.7, 29.4, 66.7, 0.0, 64.7, 35.3, 23.5, 0.0, 29.4, 0.0, 35.3, 0.0, 55.6, 11.8]",97,56,26293972992,587
multi-robot,2,"[79.2, 11.1, 52.9, 29.4, 55.6, 5.9, 70.6, 27.8, 47.1, 0.0, 47.1, 0.0, 29.4, 5.9, 55.6, 0.0]",97,56,26303676416,587
multi-robot,2,"[72.2, 6.2, 37.5, 18.8, 50.0, 0.0, 31.2, 12.5, 12.5, 0.0, 47.1, 0.0, 31.2, 0.0, 61.1, 0.0]",97,56,26302963712,587
multi-robot,2,"[78.3, 0.0, 38.9, 44.4, 55.6, 0.0, 57.9, 16.7, 44.4, 0.0, 63.2, 0.0, 27.8, 0.0, 38.9, 0.0]",97,56,26303328256,587
multi-robot,2,"[81.0, 5.9, 47.1, 52.9, 55.6, 11.8, 52.9, 29.4, 23.5, 5.9, 47.1, 0.0, 47.1, 5.9, 64.7, 0.0]",97,57,26297360384,587
multi-robot,2,"[80.0, 5.9, 17.6, 47.1, 58.8, 0.0, 77.8, 11.8, 23.5, 6.2, 29.4, 6.2, 29.4, 6.2, 47.1, 12.5]",97,57,26306834432,590
multi-robot,2,"[75.0, 0.0, 47.1, 31.2, 64.7, 0.0, 33.3, 43.8, 18.8, 0.0, 12.5, 0.0, 56.2, 0.0, 25.0, 0.0]",96,57,26331242496,587
multi-robot,2,"[84.2, 0.0, 52.9, 33.3, 41.2, 5.9, 50.0, 29.4, 27.8, 0.0, 23.5, 0.0, 16.7, 5.9, 61.1, 0.0]",96,57,26334920704,587
multi-robot,3,"[59.7, 3.9, 63.5, 12.0, 39.5, 0.9, 26.8, 48.9, 13.7, 0.9, 19.8, 0.9, 14.3, 2.6, 29.8, 1.3]",95,53,30276612096,586
multi-robot,3,"[88.2, 0.0, 73.7, 6.2, 62.5, 6.2, 29.4, 56.2, 18.8, 0.0, 31.2, 12.5, 37.5, 31.2, 64.7, 0.0]",95,53,30285385728,586
