test,count,CPU,CPU_TEMP,GPU,GPU_TEMP,RAM_USED,VRAM_USED
multi-robot,1,"[5.9, 2.7, 4.6, 22.8, 11.9, 10.7, 13.0, 18.2, 5.7, 4.4, 5.8, 21.7, 19.2, 13.5, 8.1, 14.0]",50.75,98,54,1946251264,688
multi-robot,1,"[9.1, 8.3, 7.7, 53.3, 0.0, 69.2, 0.0, 7.7, 0.0, 0.0, 7.7, 0.0, 0.0, 9.1, 0.0, 15.4]",50.625,98,54,1946251264,688
multi-robot,1,"[23.1, 0.0, 8.3, 36.4, 15.4, 0.0, 23.1, 0.0, 0.0, 0.0, 0.0, 0.0, 23.1, 23.1, 16.7, 8.3]",50.375,98,54,1946251264,688
multi-robot,1,"[9.1, 0.0, 8.3, 41.7, 0.0, 0.0, 0.0, 38.5, 0.0, 0.0, 7.7, 0.0, 45.5, 0.0, 0.0, 0.0]",50.25,98,54,1946251264,688
multi-robot,1,"[23.1, 0.0, 0.0, 18.2, 8.3, 0.0, 0.0, 75.0, 9.1, 7.7, 0.0, 0.0, 15.4, 0.0, 0.0, 0.0]",50.0,98,55,1946251264,688
multi-robot,1,"[0.0, 0.0, 0.0, 30.8, 0.0, 0.0, 7.7, 58.3, 18.2, 18.2, 8.3, 0.0, 0.0, 0.0, 23.1, 0.0]",49.875,98,54,1946251264,688
multi-robot,1,"[0.0, 0.0, 15.4, 30.8, 15.4, 7.7, 0.0, 33.3, 16.7, 14.3, 0.0, 0.0, 0.0, 0.0, 50.0, 8.3]",49.625,98,54,1946251264,688
multi-robot,1,"[15.4, 7.7, 15.4, 41.7, 8.3, 0.0, 0.0, 46.7, 14.3, 0.0, 8.3, 0.0, 0.0, 0.0, 0.0, 41.7]",49.5,98,54,1946251264,688
multi-robot,1,"[0.0, 0.0, 14.3, 36.4, 16.7, 0.0, 7.7, 8.3, 7.7, 0.0, 25.0, 0.0, 8.3, 8.3, 41.7, 7.7]",49.25,98,54,1946509312,688
multi-robot,1,"[0.0, 8.3, 15.4, 46.2, 16.7, 8.3, 0.0, 0.0, 0.0, 0.0, 23.1, 7.7, 0.0, 0.0, 45.5, 18.2]",49.0,96,55,1946509312,688
multi-robot,1,"[0.0, 23.1, 15.4, 41.7, 25.0, 0.0, 7.7, 7.7, 0.0, 8.3, 41.7, 7.7, 0.0, 15.4, 18.2, 27.3]",48.875,96,54,1946513408,688
multi-robot,1,"[0.0, 27.3, 0.0, 36.4, 25.0, 46.2, 0.0, 16.7, 8.3, 0.0, 35.7, 0.0, 0.0, 0.0, 0.0, 15.4]",48.625,96,55,1946513408,688
multi-robot,1,"[0.0, 8.3, 0.0, 36.4, 45.5, 38.5, 0.0, 0.0, 0.0, 0.0, 30.8, 0.0, 0.0, 0.0, 0.0, 0.0]",48.5,96,55,1946513408,688
multi-robot,1,"[0.0, 0.0, 0.0, 46.2, 16.7, 7.7, 7.7, 8.3, 8.3, 7.7, 16.7, 0.0, 15.4, 0.0, 42.9, 23.1]",48.25,96,55,1946513408,688
multi-robot,1,"[8.3, 8.3, 0.0, 0.0, 18.2, 0.0, 0.0, 0.0, 46.2, 0.0, 9.1, 14.3, 0.0, 8.3, 8.3, 53.8]",48.125,96,55,1946513408,688
multi-robot,1,"[8.3, 0.0, 0.0, 50.0, 0.0, 8.3, 33.3, 0.0, 7.7, 0.0, 0.0, 21.4, 0.0, 7.7, 36.4, 7.7]",47.875,96,55,1946513408,688
multi-robot,1,"[7.7, 7.7, 14.3, 41.7, 64.3, 7.7, 0.0, 0.0, 0.0, 0.0, 16.7, 16.7, 0.0, 0.0, 23.1, 0.0]",47.75,96,55,1946509312,688
multi-robot,1,"[0.0, 15.4, 0.0, 7.7, 16.7, 8.3, 25.0, 7.7, 16.7, 33.3, 8.3, 0.0, 0.0, 8.3, 25.0, 25.0]",47.5,97,55,1946509312,688
multi-robot,1,"[0.0, 0.0, 7.7, 0.0, 7.7, 33.3, 36.4, 0.0, 0.0, 46.2, 9.1, 0.0, 7.7, 15.4, 0.0, 14.3]",47.375,97,55,1946509312,688
multi-robot,1,"[0.0, 0.0, 0.0, 7.7, 7.7, 50.0, 46.2, 0.0, 0.0, 41.7, 23.1, 0.0, 7.7, 0.0, 7.7, 7.7]",47.125,97,55,1946509312,688
multi-robot,2,"[12.2, 8.3, 10.7, 11.8, 1.1, 5.5, 0.6, 0.6, 3.6, 9.3, 24.4, 8.9, 3.5, 3.5, 4.7, 0.3]",44.25,98,50,1976655872,714
multi-robot,2,"[0.0, 14.3, 83.3, 0.0, 0.0, 7.7, 7.7, 0.0, 15.4, 0.0, 23.1, 0.0, 0.0, 0.0, 30.8, 0.0]",44.25,98,50,1977131008,714
